;contractingProcedureType;publicationDate;ccp;objectBriefDescription;initialContractualPrice;signingDate;id;contractFundamentationType;increments;closeDate;causesDeadlineChange;causesPriceChange;frameworkAgreementProcedureDescription;documents;invitees;observations;totalEffectivePrice;endOfContractType;contractingProcedureUrl;ambientCriteria;directAwardFundamentationType;announcementId;contestants;frameworkAgreementProcedureId;cpvsValue;cocontratantes;aquisitionStateMemberUE;executionDeadline;contractTypeCS;executionPlace;centralizedProcedure;cpvs;income;nonWrittenContractJustificationTypes;contractStatus;materialCriteria;contractTypes;cpvsType;cpvsDesignation;infoAquisitionStateMemberUE;groupMembers;normal;specialMeasures;regime;description;contractingNif;contractingDescription;contractingId;contractedNif;contractedDescription;contractedId;links_documentos
0;Consulta Prévia;04-03-2026;False;Aquisição de Equipamentos e Componentes nos Domínios da Inovação Pedagógica e Tecnológica para o Departamento de Engenharia Civil da ESTG do Instituto Politécnico de Leiria, no âmbito do Projeto Financiado PRR – SKILLS4FUTURE;9.066,00 €;02-03-2026;13821924;Artigo 20.º, n.º 1, alínea c) do Código dos Contratos Públicos;False;;;;Não aplicável.;[];[];;;;;False;Não aplicável;-1;[{'nif': '508225078', 'description': 'Sonigate, Lda.', 'id': 501439}];Não aplicável.;9066.0 € ;False;False;90 dias;False;Portugal, Leiria, Leiria<BR/>Portugal, Leiria, Leiria;False;38540000-2;False;Artigo 95.º, n.º 1, a), contrato de locação ou de aquisição de bens móveis ou de aquisição de serviços cujo preço contratual não excede 10.000,00 € e para Região Autónoma da Madeira um coeficiente de 1,45 €;;False;Aquisição de bens móveis;Principal;Máquinas e aparelhos para ensaios e medição;;;True;;Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05;Aquisição de Equipamentos e Componentes nos Domínios da Inovação Pedagógica e Tecnológica para o Departamento de Engenharia Civil da ESTG do Instituto Politécnico de Leiria, no âmbito do Projeto Financiado PRR – SKILLS4FUTURE;506971244;Instituto Politécnico de Leiria;678;509777619;SCOTPAL;473819;
1;Consulta Prévia;04-03-2026;False;"Aquisição de serviços de manutenção geral
";19.500,00 €;23-02-2026;13821898;Artigo 20.º, n.º 1, alínea c) do Código dos Contratos Públicos;False;;;;Não aplicável.;[{'description': 'Contrato Aresta Colossal basegov.pdf', 'id': 2466088}];[];;;;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/MTA0MTQ2OA;False;Não aplicável;-1;[{'nif': '507540018', 'description': 'Frimovidro, Lda.', 'id': 215463}, {'nif': '518246051', 'description': 'ARESTA COLOSSAL UNIPESSOAL LDA', 'id': 5034499}];Não aplicável.;19500.0 € ;False;False;333 dias;False;Portugal, Braga, Barcelos;False;50800000-3;False;;;False;Aquisição de serviços;Principal;Serviços de reparação e manutenção diversos;;;True;;Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05;"Aquisição de serviços de manutenção geral
";509906478;Centro de Formação Profisssional da Indústria Têxtil, Vestuário Confecção e Lanifícios - MODATEX;291016;518246051;ARESTA COLOSSAL UNIPESSOAL LDA;5034499;https://www.base.gov.pt/Base4/pt/resultados/?type=doc_documentos&id=2466088&ext=.pdf
2;Ajuste Direto Regime Geral;04-03-2026;False;Aquisição de serviços, em regime de avença, para o desempenho de conteúdos funcionais próprios de um Técnico Superior, para apoio à Divisão de Obras Municipais e administração Direta, pelo período de um ano.;16.800,00 €;27-02-2026;13821893;Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos;False;;;;Não aplicável.;[{'description': '2.pdf', 'id': 2466087}];[];;;;;False;Não aplicável;-1;[];Não aplicável.;16800.0 € ;False;False;365 dias;False;Portugal, Braga, Vizela;False;71222000-0;False;;;False;Aquisição de serviços;Principal;Serviços de arquitectura para exteriores;;;True;;Código dos Contratos Públicos ( DL 111-B/2017 );Aquisição de serviços, em regime de avença, para o desempenho de conteúdos funcionais próprios de um Técnico Superior, para apoio à Divisão de Obras Municipais ee administração Direta, pelo período de um ano.;505985217;Município de Vizela;301;-;Ana Rita FernandesCosta;5555399;https://www.base.gov.pt/Base4/pt/resultados/?type=doc_documentos&id=2466087&ext=.pdf
3;Ajuste Direto Regime Geral;04-03-2026;False;Aquisição de Serviços de Publicidade no portal Abrantes.Online.;6.240,00 €;04-03-2026;13821671;Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos;False;;;;Não aplicável.;[];[];;;;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/MTA1ODM1MQ;False;ausência de recursos próprios;-1;[{'nif': '516125591', 'description': 'A Tua Porta LDA', 'id': 5111448}];Não aplicável.;6240.0 € ;False;False;365 dias;False;Portugal;False;79341000-6;False;Artigo 95.º, n.º 1, a), contrato de locação ou de aquisição de bens móveis ou de aquisição de serviços cujo preço contratual não excede 10.000,00 € e para Região Autónoma da Madeira um coeficiente de 1,45 €;;False;Aquisição de serviços;Principal;Serviços de publicidade;;;True;;Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05;Aquisição de Serviços de Publicidade no portal Abrantes.Online.;502661038;Município de Abrantes;888;516125591;A Tua Porta LDA;5111448;
4;Contratação excluída II;04-03-2026;False;25N02212 - Aquisição de serviços para desenvolvimento de modelos informáticos para a plataforma SISdATA.;60.000,00 €;20-05-2025;13821664;artigo 3.º n.º 1 do DLn.º 60/2018, de 03.08;False;;;;Não aplicável.;[];[];;;;;False;Não aplicável;-1;[{'nif': '514925922', 'description': '+ATLANTIC - Associação para um Laboratório Colaborativo do Atlântico', 'id': 4060814}];Não aplicável.;60000.0 € ;False;False;680 dias;False;Portugal, Coimbra, Coimbra;False;72262000-9;False;Artigo 5.º - Contratação excluída “geral”;;False;Aquisição de serviços;Principal;Serviços de desenvolvimento de software;;;True;;Decreto-Lei n.º 60/2018, de 03.08;25N02212 - Aquisição de serviços para desenvolvimento de modelos informáticos para a plataforma SISdATA.;501617582;Universidade de Coimbra;147;514925922;+ATLANTIC - Associação para um Laboratório Colaborativo do Atlântico;4060814;
5;Contratação excluída II;04-03-2026;False;24N03912 - Aquisição de serviços de consultadoria em investigação científica e tecnológica;14.999,00 €;31-07-2024;13821646;artigo 3.º n.º 1 do DLn.º 60/2018, de 03.08;False;;;;Não aplicável.;[];[];;;;;False;Não aplicável;-1;[{'nif': '517568136', 'description': 'Tirosac Consulting & Technical Activities', 'id': 5256022}];Não aplicável.;14999.0 € ;False;False;60 dias;False;Portugal, Coimbra, Coimbra;False;79421200-3;False;Artigo 5.º - Contratação excluída “geral”;;False;Aquisição de serviços;Principal;Serviços de concepção de projectos, excepto projectos de construção;;;True;;Decreto-Lei n.º 60/2018, de 03.08;24N03912 - Aquisição de serviços de consultadoria em investigação científica e tecnológica;501617582;Universidade de Coimbra;147;517568136;Tirosac Consulting & Technical Activities;5256022;
6;Concurso público;04-03-2026;False;PRC_0419/2025_CLG - Aluguer de veículos tipo pequeno furgão em regime de rent-a-car, para a Águas do Norte, S.A.;0,00 €;03-03-2026;13821636;Artigo 252.º, n.º 1, alínea a) do Código dos Contratos Públicos;False;;;;PRC_0419/2025_CLG - Aluguer de veículos tipo pequeno furgão em regime de rent-a-car, para a Águas do Norte, S.A.;[{'description': 'Contrato_PRC_0419_2025_Expurg..pdf', 'id': 2466086}];[];;;;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/MTAwMjM0OQ;False;Não aplicável;431306;[{'nif': '502650230', 'description': 'Valpi Rent S.A.', 'id': 290895}, {'nif': '509776809', 'description': 'Drive On Holidays - Comércio e Aluguer de Veículos Lda', 'id': 1642338}];8121152;Inexistente;False;False;731 dias;False;Portugal, Vila Real, Vila Real<BR/>Portugal, Braga, Barcelos;False;34100000-8;False;;;False;Locação de bens móveis;Principal;Veículos a motor;;;True;;Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05;PRC_0419/2025_CLG - Aluguer de veículos tipo pequeno furgão em regime de rent-a-car, para a Águas do Norte, S.A.;513606084;Águas do Norte, SA;784394;502650230;VALPI RENT, LDA;290895;https://www.base.gov.pt/Base4/pt/resultados/?type=doc_documentos&id=2466086&ext=.pdf
7;Ajuste Direto Regime Geral;04-03-2026;False;"
82001026 - Aquisição de Mascara p/ Adulto c/ Linha p/ Monitorização de CO2 - ULSAALE, E.P.E.
";1.350,00 €;03-03-2026;13821525;Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos;False;;;;Não aplicável.;[];[];;;;;False;Não aplicável;-1;[];Não aplicável.;1350.0 € ;False;False;5 dias;False;Portugal, Portalegre, Portalegre;False;33140000-3;False;Artigo 95.º, n.º 1, a), contrato de locação ou de aquisição de bens móveis ou de aquisição de serviços cujo preço contratual não excede 10.000,00 € e para Região Autónoma da Madeira um coeficiente de 1,45 €;;True;Aquisição de bens móveis;Principal;Material médico de consumo;;;True;;Código dos Contratos Públicos ( DL 111-B/2017 );"
82001026 - Aquisição de Mascara p/ Adulto c/ Linha p/ Monitorização de CO2 - ULSAALE, E.P.E.
";508094461;Unidade Local de Saúde do Alto Alentejo, EPE;23648;503480045;INTERSURGICAL PORTUGAL, LDA.;13077;
8;Consulta Prévia;04-03-2026;False;Aquisição de serviços de alimentação para os elementos das equipas artísticas afetas aos projetos que fazem parte da programação e atividades diretamente associadas ao programa do Theatro Circo, gnration e BMA durante o ano de 2026;6.405,00 €;04-03-2026;13821478;Artigo 20.º, n.º 1, alínea c) do Código dos Contratos Públicos;False;;;;Não aplicável.;[];[];;;;;False;Não aplicável;-1;[{'nif': '514658428', 'description': 'exemplos avulso,lda.', 'id': 4554152}, {'nif': '504464868', 'description': 'ROTIVEMINHO - RESTAURANTE, CAFÉ E SNACK-BAR LDA', 'id': 2463911}];Não aplicável.;6405.0 € ;False;False;302 dias;False;Portugal, Braga, Braga;False;55322000-3;False;Artigo 95.º, n.º 1, a), contrato de locação ou de aquisição de bens móveis ou de aquisição de serviços cujo preço contratual não excede 10.000,00 € e para Região Autónoma da Madeira um coeficiente de 1,45 €;;False;Aquisição de serviços;Principal;Serviços de confecção de refeições;;;True;;Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05;Aquisição de serviços de alimentação para os elementos das equipas artísticas afetas aos projetos que fazem parte da programação e atividades diretamente associadas ao programa do Theatro Circo, gnration e BMA durante o ano de 2026;500463964;Faz Cultura - Empresa Municipal de Cultura de Braga, EM;214830;514658428;exemplos avulso,lda.;4554152;
9;Ajuste Direto Regime Geral;04-03-2026;False;92/0842/2026 Aquisição de material de consumo clínico ;6.824,00 €;29-01-2026;13821464;Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos;False;;;;Não aplicável.;[];[];;;;;False;Não aplicável;-1;[];Não aplicável.;6824.0 € ;False;False;119 dias;False;Portugal, Faro;False;33140000-3;False;Artigo 95.º, n.º 1, a), contrato de locação ou de aquisição de bens móveis ou de aquisição de serviços cujo preço contratual não excede 10.000,00 € e para Região Autónoma da Madeira um coeficiente de 1,45 €;;True;Aquisição de bens móveis;Principal;Material médico de consumo;;;True;;Código dos Contratos Públicos ( DL 111-B/2017 );92/0842/2026 Aquisição de material de consumo clínico ;510745997;Unidade Local de Saúde do Algarve, EPE;450005;514719311;COLOPLAST II PORTUGAL UNIPESSOAL LDA;2753804;
10;Contratação excluída II;04-03-2026;False;DL60/02/2026 - aquisição de bens de sistema de ventilação - Os bens a adquirir têm como finalidade garantir a operação segura de equipamentos durante a caracterização de amostras com estufa, mufla e cromatógrafo e a realização de ensaios de medição do potencial bioquímico de metano com CSTR (Continuous Stirred Tank Reactor). O sistema de ventilação irá permitir extrair os gases gerados na digestão anaeróbia, remover o calor e os vapores produzidos pela estufa e controlar a dispersão de fumos e altas temperaturas da mufla, bem como para garantir a evacuação de gases de arraste, solventes e possíveis fugas associadas ao cromatógrafo. Dessa forma, garante-se a operação segura dos equipamentos, prevenindo sobreaquecimentos e contaminações, protegendo os utilizadores e assegurando condições adequadas de segurança laboratorial.;17.600,00 €;28-01-2026;13821393;artigo 3.º n.º 1 do DLn.º 60/2018, de 03.08;False;;;;Não aplicável.;[{'description': 'Mod.DL60.2018-Contrato_AqBensMóveis_Sistema_de_Ventilação_signed_signed_signed_Publicavel.pdf', 'id': 2466085}];[];;;;;False;Não aplicável;-1;[{'nif': '500189226', 'description': 'METEC, LDA.', 'id': 5158}];Não aplicável.;17600.0 € ;False;False;61 dias;False;Portugal, Porto, Matosinhos;False;38000000-5;True;;;False;Aquisição de bens móveis;Principal;Equipamento laboratorial, óptico e de precisão (exc. óculos);;;True;;Decreto-Lei n.º 60/2018, de 03.08;DL60/02/2026 - aquisição de bens de sistema de ventilação CSTR;515316881;Associação BIOREF - Laboratório Colaborativo para as Biorrefinarias;4829199;500189226;METEC, LDA.;5158;https://www.base.gov.pt/Base4/pt/resultados/?type=doc_documentos&id=2466085&ext=.pdf
11;Consulta Prévia;04-03-2026;False;Aquisição de serviços em regime de avença para operacionalização do gabinete de eventos;19.920,00 €;04-03-2026;13821361;Artigo 20.º, n.º 1, alínea c) do Código dos Contratos Públicos;False;;;;Não aplicável.;[{'description': 'Contrato 26013 Expurgado.pdf', 'id': 2466084}];[];;;;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/MTA1NjYwMA;False;Não aplicável;-1;[{'nif': '-', 'description': 'Manuel Francisco Lopes Salgado Bernardo', 'id': 5008586}];Não aplicável.;19920.0 € ;False;False;365 dias;False;Portugal;False;79952100-3;False;;;False;Aquisição de serviços;Principal;Serviços de organização de eventos culturais;;;True;;Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05;Aquisição de serviços em regime de avença para operacionalização do gabinete de eventos;501262997;Município de Mangualde;2151;-;Manuel Francisco Lopes Salgado Bernardo;5008586;https://www.base.gov.pt/Base4/pt/resultados/?type=doc_documentos&id=2466084&ext=.pdf
12;Ajuste Direto Regime Geral;04-03-2026;False;AD 20260399PRR - Aquisição de Sistema para teste de integridade sónica de estacas de fundação em betão e respetivos acessórios–L27;9.280,00 €;13-02-2026;13821311;Artigo 24.º, n.º 1, alínea a) do Código dos Contratos Públicos;False;;;;Não aplicável.;[];[];;;;;False;Não aplicável;-1;[];Não aplicável.;9280.0 € ;False;False;14 dias;False;Portugal, Lisboa, Loures;False;38000000-5;False;Artigo 95.º, n.º 1, a), contrato de locação ou de aquisição de bens móveis ou de aquisição de serviços cujo preço contratual não excede 10.000,00 € e para Região Autónoma da Madeira um coeficiente de 1,45 €;;True;Aquisição de bens móveis;Principal;Equipamento laboratorial, óptico e de precisão (exc. óculos);;;True;;Código dos Contratos Públicos ( DL 111-B/2017 );AD 20260399PRR - Aquisição de Sistema para teste de integridade sónica de estacas de fundação em betão e respetivos acessórios–L27;503716391;CICCOPN - Centro de Formação Profissional da Indústria da Construção Civil e Obras Públicas;4965;500216428;PERTA - SOC. EQUIPAMENTOS CONSTRUÇÃO CIVIL, LDA;14028;
